"","x"
"1","Neurl3"
"2","Ube2l6"
"3","Helz2"
"4","C3"
"5","Ddx58"
"6","Scin"
"7","Trim30a"
"8","Mt2"
"9","Apol9b"
"10","Gm12216"
"11","Apol9a"
"12","Mturn"
"13","Parp10"
"14","Adar"
"15","Ccl2"
"16","Vcam1"
"17","Ripk2"
"18","H2-M2"
"19","Tnfaip2"
"20","Ptx3"
"21","Mmp1b"
"22","Trim12a"
"23","Ccl9"
"24","Slc2a6"
"25","Nos2"
"26","Tor3a"
"27","Samd9l"
"28","Rnf213"
"29","Trim12c"
"30","Cd274"
"31","Serpina3g"
"32","Ubd"
"33","Il15"
"34","Casp4"
"35","Slamf8"
"36","Fas"
"37","Tlr2"
"38","Sp110"
"39","Phf11b"
"40","Trim30c"
"41","Ccl8"
"42","Csta2"
"43","Ifit1bl1"
"44","Slc25a18"
"45","Oas1g"
"46","Apod"
"47","Ucma"
"48","Adm"
"49","Ccrl2"
"50","Gbp9"
"51","Parp14"
"52","Gm12185"
"53","Ccl20"
"54","Arg2"
"55","Gpr84"
"56","Enpp2"
"57","Tnip3"
"58","Lcn2"
"59","Icam1"
"60","Oas1a"
"61","Gbp4"
"62","Slfn2"
"63","Gbp2"
"64","Saa3"
"65","Acod1"
"66","Isg15"
"67","Usp18"
"68","Gm4951"
"69","Ddx60"
"70","Cxcl10"
"71","Ifi47"
"72","Gbp5"
"73","Ccl5"
"74","Gbp6"
"75","Irf7"
"76","Gbp3"
"77","Ifi44"
"78","Sgk3"
"79","B3galt1"
"80","Tcp11x2"
"81","Tifa"
"82","Igsf3"
"83","Rbm43"
"84","Fyb"
"85","Fkbp14"
"86","Ctso"
"87","Fam114a1"
"88","Pla1a"
"89","Cpeb4"
"90","Phactr1"
"91","Capn6"
"92","Itga11"
"93","Gypc"
"94","Lipa"
"95","Ptges"
"96","H2-T23"
"97","Cyp4v3"
"98","Manba"
"99","H2-M3"
"100","Snx10"
"101","Acsl4"
"102","Fbxw17"
"103","Map2k1"
"104","Il1rap"
"105","Ifngr1"
"106","Grk5"
"107","Gadd45b"
"108","Layn"
"109","Slc39a1"
"110","Glipr2"
"111","Tgfbr3"
"112","Bmper"
"113","Ntn1"
"114","Psme1"
"115","Trim26"
"116","Ttc39c"
"117","Tdrd7"
"118","Whamm"
"119","Nfkbiz"
"120","Fbn1"
"121","Adamts4"
"122","Pdgfrb"
"123","Cacna1g"
"124","Fam20c"
"125","Mid1"
"126","Stap2"
"127","Aqp3"
"128","Orai2"
"129","Slc44a1"
"130","Pik3ip1"
"131","Ifi27"
"132","Parp3"
"133","Stat5a"
"134","Wdtc1"
"135","Nod2"
"136","Myo1d"
"137","Ssc5d"
"138","Il1rl1"
"139","Styk1"
"140","Rab20"
"141","Nid1"
"142","Ifngr2"
"143","Clip1"
"144","Hivep2"
"145","Btc"
"146","Slfn9"
"147","Zfp945"
"148","Endod1"
"149","Rnf14"
"150","Apobec3"
"151","Clic4"
"152","Il4ra"
"153","Arhgef3"
"154","Mvp"
"155","Nfkbib"
"156","Klhl25"
"157","Csf1"
"158","Sema4b"
"159","Tsku"
"160","Slc11a2"
"161","Rfx5"
"162","Ubr4"
"163","Repin1"
"164","Nfkb2"
"165","Rapgef3"
"166","Gdpd5"
"167","Relb"
"168","Traf1"
"169","Slc6a4"
"170","Cx3cl1"
"171","Fndc7"
"172","Arl1"
"173","Extl2"
"174","Kat2b"
"175","Snap23"
"176","Asap1"
"177","Sh3d19"
"178","Col4a2"
"179","Psmd10"
"180","Tmem176a"
"181","Kitl"
"182","Wrn"
"183","Fndc3a"
"184","Gpat3"
"185","Ctsa"
"186","Ptchd1"
"187","Pls3"
"188","Matn2"
"189","Cav1"
"190","Iglon5"
"191","Prdx5"
"192","Rhoc"
"193","Pgf"
"194","Idh1"
"195","Insig2"
"196","Tspan31"
"197","H2-DMb1"
"198","Smim14"
"199","Itm2b"
"200","Mgst3"
"201","Kdelr3"
"202","F3"
"203","Cyp4f13"
"204","Bhlhe40"
"205","Cdc42ep5"
"206","Porcn"
"207","Tnfaip3"
"208","Rnf114"
"209","Cdh13"
"210","Insig1"
"211","Stard5"
"212","Stx4a"
"213","Emilin1"
"214","Pld3"
"215","Alpk1"
"216","Zfyve26"
"217","Mvd"
"218","Parp8"
"219","Nhlrc3"
"220","Maff"
"221","Ugt1a6b"
"222","Plekha4"
"223","Sat1"
"224","Alox5ap"
"225","Ginm1"
"226","Ccdc6"
"227","Skil"
"228","Cd63"
"229","Cyb5a"
"230","Abracl"
"231","Svbp"
"232","Taf7"
"233","H3f3b"
"234","Prelid2"
"235","Ifitm2"
"236","Ifitm10"
"237","S100a4"
"238","Pet100"
"239","Slc24a3"
"240","Tnni2"
"241","Cpa6"
"242","Hsd17b7"
"243","Erg28"
"244","Pank1"
"245","Cystm1"
"246","Alkbh5"
"247","Man2a1"
"248","Dcp2"
"249","Jak2"
"250","Aida"
"251","Pnp"
"252","Clip4"
"253","Tex12"
"254","Papss2"
"255","Ciart"
"256","Trim56"
"257","Adamts9"
"258","Kansl1l"
"259","Marcks"
"260","Ppp3ca"
"261","Fmnl2"
"262","Ikzf2"
"263","Far2"
"264","Dbi"
"265","Hk2"
"266","Notch2"
"267","Taf15"
"268","Sec22a"
"269","Zc3h7a"
"270","Eif5a2"
"271","Dse"
"272","Tank"
"273","Zfp719"
"274","Ddx24"
"275","4921524J17Rik"
"276","Arglu1"
"277","Zbtb21"
"278","Evi2a"
"279","Tm4sf1"
"280","Atp5l"
"281","Retreg1"
"282","Rab21"
"283","Vmp1"
"284","Phldb2"
"285","Gtdc1"
"286","Acta2"
"287","Fst"
"288","Fkbp11"
"289","Alas2"
"290","Lbp"
"291","Chil1"
"292","Sp140"
"293","Cp"
"294","Znfx1"
"295","Serpina3i"
"296","Madcam1"
"297","Heatr9"
"298","Eif2ak2"
"299","Tlr3"
"300","Apol7e"
"301","Phf11a"
"302","Gbp10"
"303","Il18bp"
"304","Ccl17"
"305","BC147527"
"306","AA467197"
"307","Serpina3n"
"308","Ifnb1"
"309","Dnase1l3"
"310","Cfb"
"311","Psme2"
"312","Samhd1"
"313","Rnd3"
"314","Exoc3l4"
"315","Slc7a2"
"316","Plscr1"
"317","Tslp"
"318","Odaph"
"319","Ifitm3"
"320","Sdc4"
"321","Cxcl5"
"322","Cxcl1"
"323","Ikbke"
"324","Gsap"
"325","S1pr3"
"326","Osmr"
"327","H2-T22"
"328","C1ra"
"329","Il13ra1"
"330","Cd74"
"331","Fstl1"
"332","Tnfrsf9"
"333","Man1a"
"334","Il6st"
"335","Dram1"
"336","Hmox1"
"337","Ptprj"
"338","Six5"
"339","Cd82"
"340","Tyk2"
"341","Tcirg1"
"342","Tmem106a"
"343","Rnf31"
"344","Zc3hav1"
"345","Tapbp"
"346","Rasgef1b"
"347","Irf5"
"348","Nrp2"
"349","Nfkbia"
"350","Cdhr1"
"351","Gch1"
"352","Nfkbie"
"353","Stx11"
"354","Ampd3"
"355","Birc3"
"356","Gsdmd"
"357","Angptl4"
"358","Tnip1"
"359","Col3a1"
"360","Il18"
"361","Fxyd1"
"362","Map3k8"
"363","Ctsl"
"364","B2m"
"365","Isg20"
"366","Mt1"
"367","Lpcat2"
"368","Tnfaip6"
"369","C2"
"370","Enpp4"
"371","Clec2d"
"372","Cxcl12"
"373","Dpep2"
"374","Socs2"
"375","Mgp"
"376","Dpep1"
"377","Adam12"
"378","4933400A11Rik"
"379","Bnip3"
"380","Mfap4"
"381","Ccl11"
"382","Il6"
"383","Islr"
"384","Oas1c"
"385","Gbp8"
"386","Gm14137"
"387","Mmp9"
"388","Ssh3"
"389","Adamts7"
"390","Mov10"
"391","Col6a1"
"392","Il17rc"
"393","Ptpn23"
"394","Arhgef17"
"395","Khnyn"
"396","Gpr176"
"397","Mlxip"
"398","Pcdhgc4"
"399","Stxbp1"
"400","Fam219a"
"401","Pdk4"
"402","H6pd"
"403","B4galnt1"
"404","Ldlr"
"405","Erbb2"
"406","Adamts14"
"407","Tmem104"
"408","Arhgef2"
"409","Tmem184b"
"410","Rela"
"411","Rgma"
"412","Rab5b"
"413","Cd276"
"414","Nek8"
"415","Atg9a"
"416","Zfp385a"
"417","Lrp10"
"418","Vps37c"
"419","Sufu"
"420","Jak3"
"421","Vangl2"
"422","Clip3"
"423","Sphk2"
"424","Ppp1r16a"
"425","Frmd8"
"426","Nsmf"
"427","Polr2a"
"428","Raver1"
"429","Ap2a1"
"430","Mrtfa"
"431","Fscn1"
"432","Zyx"
"433","Med25"
"434","Esyt1"
"435","Abhd2"
"436","Tfe3"
"437","Cdk6"
"438","Iqce"
"439","Sun2"
"440","Hspg2"
"441","D930048N14Rik"
"442","Ldlrad3"
"443","Ddi2"
"444","Mfsd12"
"445","Dtx3"
"446","Epn1"
"447","Zdhhc8"
"448","Inppl1"
"449","Anxa11"
"450","Sh3bp1"
"451","Atxn2l"
